date,price,dix,gex,NEGATIVE_GAMMA_REGIME,DIX_10D_MA,DARK_POOL_ACCUMULATION,DIP_BUY_SAFE,NET_LIQUIDITY_B,RISK_ON_LIQUIDITY,VPIN_PROXY,HIGH_TOXICITY_FLAG,TOTAL_CLUSTER_BUYS,EUREKA_AVOID_CRASH_FLAG,EUREKA_BUY_THE_DIP_FLAG
2025-12-09,6840.51,0.4672530155718718,6762231183.3,False,0.473171810335746,True,True,6096.030000000001,False,,,0,False,False
2025-12-10,6886.68,0.4530402256294149,7523159648.74,False,0.4709851747941417,True,True,6122.51,False,,,0,False,False
2025-12-11,6901.0,0.4673539374842177,7926128077.16,False,0.4686753022248705,True,True,6179.259999999999,False,,,0,False,False
2025-12-12,6827.41,0.4666249034778935,6509966677.8,False,0.470403833687715,True,True,6170.54,False,,,0,False,False
2025-12-15,6816.51,0.4417498135855839,6170639237.86,False,0.4654983918702842,True,True,6175.620000000001,False,,,0,False,False
2025-12-16,6800.26,0.4499767003299719,6494447750.23,False,0.4618180424858822,True,True,6146.2,False,,,0,False,False
2025-12-17,6721.43,0.4629170329488922,4502157909.68,False,0.4579080098720063,True,True,6167.35,False,,,0,False,False
2025-12-18,6774.76,0.4490546017721714,6689398265.78,False,0.4580044285958244,True,True,6193.879999999999,False,,,0,False,False
2025-12-19,6834.5,0.4715840596395724,5875128134.31,False,0.4594328647553211,True,True,6236.3099999999995,True,,,0,False,False
2025-12-22,6878.49,0.4434401317293244,7172229064.14,False,0.4572994422168914,True,True,6250.82,True,,,0,False,False
2025-12-23,6909.79,0.4432571468685826,8282330449.17,False,0.4548998553465624,True,True,6233.38,True,,,0,False,False
2025-12-24,6932.05,0.4555444412433638,9286153262.63,False,0.4551502769079574,True,True,6286.5199999999995,True,,,0,False,False
2025-12-26,6929.94,0.467985846756966,6821528138.03,False,0.4552134678352321,True,True,6325.68,True,,,0,False,False
2025-12-29,6905.74,0.4246376106304307,6182187701.57,False,0.451014738550486,True,True,6354.39,True,,,0,False,False
2025-12-30,6896.24,0.4210884837561359,6330371934.03,False,0.4489486055675411,False,True,6342.8,True,,,0,False,False
2025-12-31,6845.5,0.4386556499499279,4532633850.86,False,0.4478165005295367,False,True,6340.490000000001,True,,,0,False,False
2026-01-02,6858.47,0.4667575163192126,4747106524.47,False,0.4482005488665687,False,True,6381.73,True,,,0,False,False
2026-01-05,6902.05,0.4901667247951398,5987819235.59,False,0.4523117611688656,True,True,6414.92,True,,,0,False,False
2026-01-06,6944.82,0.4653835128082585,6534977805.48,False,0.4516917064857343,True,True,6446.450000000001,True,,,0,False,False
2026-01-07,6920.93,0.4797634909462668,6280882837.49,False,0.4553240424074284,True,True,6495.910000000001,True,,,0,False,False
2026-01-08,6921.46,0.4553564327907503,6286915585.12,False,0.4565339709996452,True,True,6462.65,True,,,0,False,False
2026-01-09,6966.28,0.467450970931873,6562700849.21,False,0.4577246239684961,True,True,6439.99,True,,,0,False,False
2026-01-12,6977.27,0.4762137207811034,6743804529.25,False,0.4585474113709099,True,True,6460.539999999999,True,,,0,False,False
2026-01-13,6963.74,0.459679855556542,6477575094.64,False,0.462051635863521,True,True,6464.25,True,,,0,False,False
2026-01-14,6926.6,0.4460530214917583,5217893515.41,False,0.4645480896370833,True,True,6466.47,True,,,0,False,False
2026-01-15,6944.47,0.4419078456934662,5850802530.38,False,0.4648733092114371,True,True,6429.91,True,,,0,False,False
2026-01-16,6940.01,0.4358132388684452,3831067998.5,False,0.4617788814663603,True,True,6479.19,True,,,0,False,False
2026-01-20,6796.86,0.4198377560073585,1814029568.13,False,0.4547459845875822,True,True,6441.0599999999995,True,,,0,False,False
2026-01-21,6875.62,0.4155726170285169,3346888759.56,False,0.449764895009608,False,True,6417.52,True,,,0,False,False
2026-01-22,6913.35,0.4533952602386525,5345750999.12,False,0.4471280719388466,False,True,6453.94,True,,,0,False,False
2026-01-23,6915.61,0.447230423522225,4448432396.66,False,0.4463154710119941,False,True,6410.84,True,,,0,False,False
2026-01-26,6950.23,0.4595926621948827,4862830145.12,False,0.445529640138295,False,True,6356.139999999999,True,,,0,False,False
2026-01-27,6978.6,0.456669190823758,5238488933.3,False,0.4435751871425605,False,True,6336.54,False,,,0,False,False
2026-01-28,6978.03,0.4584591332621618,5338842375.21,False,0.4434531149131225,False,True,6339.85,False,,,0,False,False
2026-01-29,6969.01,0.434440280923251,5527721732.42,False,0.4422918408562718,False,True,6369.07,False,,,0,False,False
2026-01-30,6939.03,0.4510346051438673,4525764597.42,False,0.4432045168013119,False,True,6367.5599999999995,False,,,0,False,False
2026-02-02,6976.44,0.4423988507108459,5069252179.2,False,0.4438630779855519,False,True,6344.46,False,,,0,False,False
2026-02-03,6917.81,0.4407379785319332,4408072162.65,False,0.4459531002380094,False,True,6391.64,False,,,0,False,False
2026-02-04,6882.72,0.4081445293284202,4070213440.42,False,0.4452102914679997,False,True,6403.15,False,,,0,False,False
2026-02-05,6798.4,0.40406248966664,3180788269.6,False,0.4402770144107985,False,True,6400.33,False,,,0,False,False
2026-02-06,6932.3,0.445373884290967,4804932968.16,False,0.4400913604876726,False,True,6390.9400000000005,False,,,0,False,False
2026-02-09,6964.82,0.4580543662192916,5613052438.47,False,0.4399375308901135,False,True,6401.62,False,,,0,False,False
2026-02-10,6941.81,0.4589289225974104,5321465363.52,False,0.4401635040674788,False,True,6412.86,False,,,0,False,False
2026-02-11,6941.47,0.4470536786884437,5002389285.85,False,0.439022958610107,False,True,6391.320000000001,False,,,0,False,False
2026-02-12,6832.76,0.4474743800337078,3055298147.07,False,0.4403263685211526,False,True,6430.4400000000005,True,,,0,False,False
2026-02-13,6836.17,0.4414548923952034,2915535519.25,False,0.4393683972462863,False,True,6433.45,False,,,0,False,False
2026-02-17,6843.22,0.4424007650378042,3582901176.04,False,0.4393685886789821,False,True,6414.95,False,,,0,False,False
2026-02-18,6881.31,0.4668055046153697,2903005383.22,False,0.4419753412873258,False,True,6393.71,False,,,0,False,False
